id,time,feature,datetime,year,month,day,dayofweek_num,dayofweek_name,hour,minute,second,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_9,rolling_mean_12,expanding_mean
0,2019-03-19 00:00:00,237.97,2019-03-19 00:00:00,2019,3,19,1,Tuesday,0,0,0,,,,,,,
1,2019-03-19 00:00:10,57.93,2019-03-19 00:00:10,2019,3,19,1,Tuesday,0,0,10,237.97,,,,,,147.95
2,2019-03-19 00:00:20,90.53,2019-03-19 00:00:20,2019,3,19,1,Tuesday,0,0,20,57.93,237.97,,128.80999999999997,,,128.80999999999997
3,2019-03-19 00:00:30,260.75,2019-03-19 00:00:30,2019,3,19,1,Tuesday,0,0,30,90.53,57.93,237.97,136.4033333333333,,,161.795
4,2019-03-19 00:00:40,49.7,2019-03-19 00:00:40,2019,3,19,1,Tuesday,0,0,40,260.75,90.53,57.93,133.65999999999997,,,139.376
5,2019-03-19 00:00:50,302.08,2019-03-19 00:00:50,2019,3,19,1,Tuesday,0,0,50,49.7,260.75,90.53,204.17666666666665,,,166.49333333333334
6,2019-03-19 00:01:00,152.25,2019-03-19 00:01:00,2019,3,19,1,Tuesday,0,1,0,302.08,49.7,260.75,168.01,,,164.45857142857145
7,2019-03-19 00:01:10,41.19,2019-03-19 00:01:10,2019,3,19,1,Tuesday,0,1,10,152.25,302.08,49.7,165.17333333333335,,,149.05
8,2019-03-19 00:01:20,34.61,2019-03-19 00:01:20,2019,3,19,1,Tuesday,0,1,20,41.19,152.25,302.08,76.01666666666667,136.33444444444444,,136.33444444444444
9,2019-03-19 00:01:30,205.87,2019-03-19 00:01:30,2019,3,19,1,Tuesday,0,1,30,34.61,41.19,152.25,93.89,132.76777777777778,,143.288
10,2019-03-19 00:01:40,166.23,2019-03-19 00:01:40,2019,3,19,1,Tuesday,0,1,40,205.87,34.61,41.19,135.57,144.8011111111111,,145.37363636363636
11,2019-03-19 00:01:50,73.75,2019-03-19 00:01:50,2019,3,19,1,Tuesday,0,1,50,166.23,205.87,34.61,148.61666666666665,142.93666666666667,139.405,139.405
12,2019-03-19 00:02:00,282.46,2019-03-19 00:02:00,2019,3,19,1,Tuesday,0,2,0,73.75,166.23,205.87,174.14666666666665,145.3488888888889,143.1125,150.4092307692308
13,2019-03-19 00:02:10,122.71,2019-03-19 00:02:10,2019,3,19,1,Tuesday,0,2,10,282.46,73.75,166.23,159.64,153.4611111111111,148.51083333333335,148.4307142857143
14,2019-03-19 00:02:20,32.04,2019-03-19 00:02:20,2019,3,19,1,Tuesday,0,2,20,122.71,282.46,73.75,145.73666666666665,123.45666666666668,143.63666666666668,140.67133333333334
15,2019-03-19 00:02:30,40.73,2019-03-19 00:02:30,2019,3,19,1,Tuesday,0,2,30,32.04,122.71,282.46,65.16000000000001,111.06555555555558,125.30166666666668,134.425
16,2019-03-19 00:02:40,55.06,2019-03-19 00:02:40,2019,3,19,1,Tuesday,0,2,40,40.73,32.04,122.71,42.61000000000001,112.60666666666667,125.74833333333333,129.7564705882353
17,2019-03-19 00:02:50,46.4,2019-03-19 00:02:50,2019,3,19,1,Tuesday,0,2,50,55.06,40.73,32.04,47.396666666666675,113.91666666666669,104.44166666666668,125.12555555555556
18,2019-03-19 00:03:00,54.46,2019-03-19 00:03:00,2019,3,19,1,Tuesday,0,3,0,46.4,55.06,40.73,51.97333333333335,97.09333333333336,96.29250000000002,121.4063157894737
19,2019-03-19 00:03:10,29.97,2019-03-19 00:03:10,2019,3,19,1,Tuesday,0,3,10,54.46,46.4,55.06,43.610000000000014,81.95333333333336,95.35750000000002,116.8345
